client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
67a9f153c3c4c2b294591499e59663656a0df1af6cb43546acb1539b69fececcae6a8c58e96122b82d06a17bbf55502518562c92d1a3589e79c241214810b0f8	common_voice_nl_17691479.mp3	Charles Michel is de huidige eerste minister of premier van België.	1	2	twenties	male	Nederlands Nederlands	nl	
67a9f153c3c4c2b294591499e59663656a0df1af6cb43546acb1539b69fececcae6a8c58e96122b82d06a17bbf55502518562c92d1a3589e79c241214810b0f8	common_voice_nl_17691481.mp3	Er is een vacature, maar ik vind niet de juiste profielen.	2	3	twenties	male	Nederlands Nederlands	nl	
67a9f153c3c4c2b294591499e59663656a0df1af6cb43546acb1539b69fececcae6a8c58e96122b82d06a17bbf55502518562c92d1a3589e79c241214810b0f8	common_voice_nl_17691519.mp3	Wat is jouw favoriete tv-programma?	1	2	twenties	male	Nederlands Nederlands	nl	
67a9f153c3c4c2b294591499e59663656a0df1af6cb43546acb1539b69fececcae6a8c58e96122b82d06a17bbf55502518562c92d1a3589e79c241214810b0f8	common_voice_nl_17691540.mp3	Het Nederlands telt behoorlijk wat spreekwoorden en uitdrukkingen.	1	2	twenties	male	Nederlands Nederlands	nl	
9770fb36c8a3ad885675b6fd01e018a6ecc0353b19136b12ac865e8a9a07d8b6646d5860fefe2476e7aac0e7f531901de4761fcbdaa3932602d612a9fa13f5b0	common_voice_nl_17693544.mp3	De Verenigde Staten is het enige Westerse land dat de doodstraf nog toepast.	1	4	twenties	male	Belgisch Nederlands	nl	
9770fb36c8a3ad885675b6fd01e018a6ecc0353b19136b12ac865e8a9a07d8b6646d5860fefe2476e7aac0e7f531901de4761fcbdaa3932602d612a9fa13f5b0	common_voice_nl_17693546.mp3	Ze hadden Emma herkent door middel van een robotfoto.	2	3	twenties	male	Belgisch Nederlands	nl	
8fe2183849c7f6f8619f9379704b13c24d1438b86891973fb2cb9b28f289ef26f41aac8b2e5a507b8168f7ba8aed8b3555cd10348cb14fcbbe93f7d53b14f86b	common_voice_nl_17693563.mp3	Heb je de tafel gedekt?	2	3	fourties	male	Nederlands Nederlands	nl	
8fe2183849c7f6f8619f9379704b13c24d1438b86891973fb2cb9b28f289ef26f41aac8b2e5a507b8168f7ba8aed8b3555cd10348cb14fcbbe93f7d53b14f86b	common_voice_nl_17693564.mp3	Ik heb artisanale producten gekocht voor hem.	3	4	fourties	male	Nederlands Nederlands	nl	
8fe2183849c7f6f8619f9379704b13c24d1438b86891973fb2cb9b28f289ef26f41aac8b2e5a507b8168f7ba8aed8b3555cd10348cb14fcbbe93f7d53b14f86b	common_voice_nl_17693565.mp3	De glazenwasser tuimelde naar beneden, maar als bij een wonder kon hij zich uiteindelijk toch vastgrijpen aan een kabel.	1	2	fourties	male	Nederlands Nederlands	nl	
116358fb4a88b33915a3718890f1ea0eb302e9c7d4a20f101eed76b576c09af7cc2982e68b0a8ab569762fbb57f2fd94a64cd2f913cea754a0f68c6c55f0c527	common_voice_nl_17693982.mp3	We lachen er al heel de dag om.	1	2				nl	
